Date,Location,Stake,Ward/Branch,# of Adult Volunteers,# of Youth Volunteers,Donation Bags Collected,Time to Complete (min),Completed More Than One Route,Routes Completed,Doors in Route,Time Spent,Neighbourhood,Ward,Assessed Value,New Route Number/Name
2023-09-23 10:36,Londonderry Chapel,Bonnie Doon Stake,Clareview Ward,1,3,14,25,0,2,14,25,CLAREVIEW,,837500,Bonnie Doon Stake 1
2023-09-23 10:36,Gateway Stake Centre,Gateway Stake,Crawford Plains Ward,3,1,18,25,1,2,144,30,CRAWFORD PLAINS,Sspomitapi Ward,140000,Gateway Stake 1
2023-09-23 10:40,Gateway Stake Centre,Gateway Stake,Silver Berry Ward,2,0,20,30,0,2,186,30,SILVER BERRY,Sspomitapi Ward,162000,Gateway Stake 2
2023-09-23 10:41,Gateway Stake Centre,Gateway Stake,Crawford Plains Ward,2,0,20,25,1,1,194,30,CRAWFORD PLAINS,Sspomitapi Ward,140000,Gateway Stake 3
2023-09-23 10:44,Londonderry Chapel,Bonnie Doon Stake,Londonderry Ward,1,0,2,5,0,2,1,30.26904762,LONDONDERRY,,837500,Bonnie Doon Stake 2
2023-09-23 10:48,Bearspaw Chapel,Gateway Stake,Blackmud Creek Ward,2,0,20,20,0,2,179,20,BLACKMUD CREEK,Ipiihkoohkanipiaohtsi Ward,503500,Gateway Stake 4
2023-09-23 10:50,Gateway Stake Centre,Gateway Stake,Lee Ridge Ward,1,4,17,25,0,2,141,22,LEE RIDGE,Karhiio Ward,28618500,Gateway Stake 5
2023-09-23 10:51,Londonderry Chapel,Bonnie Doon Stake,Londonderry Ward,2,0,32,45,0,2,27,30.26904762,LONDONDERRY,,837500,Bonnie Doon Stake 3
2023-09-23 10:51,Londonderry Chapel,Bonnie Doon Stake,Londonderry Ward,2,0,100,5,1,2,200,49,LONDONDERRY,,837500,Bonnie Doon Stake 4
2023-09-23 10:52,Bearspaw Chapel,Bonnie Doon Stake,Southgate Ward,2,3,15,45,0,2,13,35,SOUTHGATE,,837500,Bonnie Doon Stake 5
2023-09-23 10:53,Bonnie Doon Stake Centre,Bonnie Doon Stake,Connors Hill Ward,1,2,30,30,0,2,300,30,CONNORS HILL,,837500,Bonnie Doon Stake 6
2023-09-23 10:55,Londonderry Chapel,Bonnie Doon Stake,Clareview Ward,1,0,17,60,0,2,110,30.26904762,CLAREVIEW,,837500,Bonnie Doon Stake 7
2023-09-23 10:55,Londonderry Chapel,Bonnie Doon Stake,Londonderry Ward,3,2,20,40,0,2,107,40,LONDONDERRY,,837500,Bonnie Doon Stake 8
2023-09-23 10:56,Coronation Park Chapel,Bonnie Doon Stake,Coronation Park Ward,2,1,25,55,0,2,20,55,CORONATION PARK,,837500,Bonnie Doon Stake 9
2023-09-23 10:58,Londonderry Chapel,Bonnie Doon Stake,Clareview Ward,2,3,24,45,1,3,250,45,CLAREVIEW,,837500,Bonnie Doon Stake 10
2023-09-23 10:59,Bonnie Doon Stake Centre,Bonnie Doon Stake,Connors Hill Ward,3,5,10,60,0,2,184,60,CONNORS HILL,,837500,Bonnie Doon Stake 11
2023-09-23 11:01,Londonderry Chapel,Bonnie Doon Stake,Londonderry Ward,2,2,12,30,0,2,12,30.26904762,LONDONDERRY,,837500,Bonnie Doon Stake 12
2023-09-23 11:01,Londonderry Chapel,Bonnie Doon Stake,Londonderry Ward,2,0,30,45,1,2,194,60,LONDONDERRY,,837500,Bonnie Doon Stake 13
2023-09-23 11:03,Londonderry Chapel,Bonnie Doon Stake,Londonderry Ward,2,0,16,25,0,2,98,25,LONDONDERRY,,837500,Bonnie Doon Stake 14
2023-09-23 11:03,Bonnie Doon Stake Centre,Bonnie Doon Stake,Forest Heights Ward,2,2,10,20,1,2,120,20,FOREST HEIGHTS,M̩tis Ward,837500,Bonnie Doon Stake 15
2023-09-23 11:03,Coronation Park Chapel,Bonnie Doon Stake,Coronation Park Ward,2,0,20,60,0,2,96,60,CORONATION PARK,,837500,Bonnie Doon Stake 16
2023-09-23 11:03,Gateway Stake Centre,Gateway Stake,Silver Berry Ward,5,0,29,30,0,2,19,30,SILVER BERRY,Sspomitapi Ward,162000,Gateway Stake 6
2023-09-23 11:04,Bonnie Doon Stake Centre,Bonnie Doon Stake,Forest Heights Ward,2,1,40,30,0,2,200,45,FOREST HEIGHTS,M̩tis Ward,837500,Bonnie Doon Stake 17
2023-09-23 11:04,Coronation Park Chapel,Bonnie Doon Stake,Coronation Park Ward,2,0,18,63,0,2,140,63,CORONATION PARK,,837500,Bonnie Doon Stake 18
2023-09-23 11:05,Gateway Stake Centre,Gateway Stake,Silver Berry Ward,2,3,21,30,0,2,1,32,SILVER BERRY,Sspomitapi Ward,162000,Gateway Stake 7
2023-09-23 11:06,Bearspaw Chapel,Gateway Stake,Lee Ridge Ward,5,3,24,40,0,2,157,40,LEE RIDGE,Karhiio Ward,28618500,Gateway Stake 8
2023-09-23 11:06,Bonnie Doon Stake Centre,Bonnie Doon Stake,Connors Hill Ward,2,3,40,180,1,2,375,60,CONNORS HILL,,837500,Bonnie Doon Stake 19
2023-09-23 11:06,Gateway Stake Centre,Gateway Stake,Silver Berry Ward,3,0,35,30,0,2,250,740,SILVER BERRY,Sspomitapi Ward,162000,Gateway Stake 9
2023-09-23 11:06,Gateway Stake Centre,Gateway Stake,Crawford Plains Ward,2,0,15,25,0,2,116,25,CRAWFORD PLAINS,Sspomitapi Ward,140000,Gateway Stake 10
2023-09-23 11:07,Bonnie Doon Stake Centre,Bonnie Doon Stake,Forest Heights Ward,2,0,30,30,0,2,115,30,FOREST HEIGHTS,M̩tis Ward,837500,Bonnie Doon Stake 20
2023-09-23 11:07,Londonderry Chapel,Bonnie Doon Stake,Clareview Ward,1,1,36,45,0,2,15,30.26904762,CLAREVIEW,,837500,Bonnie Doon Stake 21
2023-09-23 11:09,Bonnie Doon Stake Centre,Bonnie Doon Stake,Forest Heights Ward,2,2,15,30,0,2,90,38,FOREST HEIGHTS,M̩tis Ward,837500,Bonnie Doon Stake 22
2023-09-23 11:09,North Stake Centre,Edmonton North Stake,Griesbach Ward,2,1,21,45,0,2,206,45,GRIESBACH,Anirniq Ward,6666500,Edmonton North Stake 1
2023-09-23 11:09,Gateway Stake Centre,Gateway Stake,Silver Berry Ward,2,3,21,32,0,2,202,32,SILVER BERRY,Sspomitapi Ward,162000,Gateway Stake 11
2023-09-23 11:09,North Stake Centre,Edmonton North Stake,Griesbach Ward,1,1,23,45,0,2,206,45,GRIESBACH,Anirniq Ward,6666500,Edmonton North Stake 2
2023-09-23 11:09,Riverbend Stake Centre,Riverbend Stake,Greenfield Ward,2,0,30,50,0,2,172,50,GREENFIELD,papastew Ward,295500,Riverbend Stake 1
2023-09-23 11:10,Londonderry Chapel,Bonnie Doon Stake,Clareview Ward,2,0,24,30,0,2,23,30.26904762,CLAREVIEW,,837500,Bonnie Doon Stake 23
2023-09-23 11:11,Coronation Park Chapel,Bonnie Doon Stake,Coronation Park Ward,2,0,5,32,0,2,302,39,CORONATION PARK,,837500,Bonnie Doon Stake 24
2023-09-23 11:11,North Stake Centre,Edmonton North Stake,Griesbach Ward,2,3,29,60,0,2,107,60,GRIESBACH,Anirniq Ward,6666500,Edmonton North Stake 3
2023-09-23 11:11,Gateway Stake Centre,Gateway Stake,Crawford Plains Ward,1,0,20,20,0,2,100,20,CRAWFORD PLAINS,Sspomitapi Ward,140000,Gateway Stake 12
2023-09-23 11:11,Londonderry Chapel,Bonnie Doon Stake,Londonderry Ward,2,1,17,30,0,2,182,30.26904762,LONDONDERRY,,837500,Bonnie Doon Stake 25
2023-09-23 11:12,Londonderry Chapel,Bonnie Doon Stake,Londonderry Ward,3,0,15,45,1,2,200,51,LONDONDERRY,,837500,Bonnie Doon Stake 26
2023-09-23 11:12,North Stake Centre,Edmonton North Stake,Griesbach Ward,2,2,24,30,0,2,20,30,GRIESBACH,Anirniq Ward,6666500,Edmonton North Stake 4
2023-09-23 11:13,Gateway Stake Centre,Gateway Stake,Crawford Plains Ward,2,0,26,45,0,2,150,40,CRAWFORD PLAINS,Sspomitapi Ward,140000,Gateway Stake 13
2023-09-23 11:14,Gateway Stake Centre,Gateway Stake,Silver Berry Ward,3,0,24,35,0,2,194,40,SILVER BERRY,Sspomitapi Ward,162000,Gateway Stake 14
2023-09-23 11:14,Bonnie Doon Stake Centre,Bonnie Doon Stake,Forest Heights Ward,3,3,30,60,1,2,100,73,FOREST HEIGHTS,M̩tis Ward,837500,Bonnie Doon Stake 27
2023-09-23 11:14,Gateway Stake Centre,Gateway Stake,Ellerslie Ward,2,2,33,50,1,1,207,50,ELLERSLIE,Karhiio Ward,797500,Gateway Stake 15
2023-09-23 11:14,Londonderry Chapel,Bonnie Doon Stake,Londonderry Ward,2,2,11,35,0,2,116,30.26904762,LONDONDERRY,,837500,Bonnie Doon Stake 28
2023-09-23 11:15,Bearspaw Chapel,Gateway Stake,Blackmud Creek Ward,2,0,15,45,0,2,135,35,BLACKMUD CREEK,Ipiihkoohkanipiaohtsi Ward,503500,Gateway Stake 16
2023-09-23 11:16,Gateway Stake Centre,Gateway Stake,Silver Berry Ward,1,0,11,20,0,2,29,13,SILVER BERRY,Sspomitapi Ward,162000,Gateway Stake 17
2023-09-23 11:17,Riverbend Stake Centre,Riverbend Stake,Rabbit Hill Ward,2,3,22,30,0,2,80,40,RABBIT HILL,,738854.8387,Riverbend Stake 2
2023-09-23 11:17,North Stake Centre,Edmonton North Stake,Namao Ward,2,0,23,100,0,2,160,100,NAMAO,,6666500,Edmonton North Stake 5
2023-09-23 11:17,Gateway Stake Centre,Gateway Stake,Wainwright Branch,2,0,23,30,0,2,137,30,WAINWRIGHT BRANCH,,6706200.535,Gateway Stake 18
2023-09-23 11:18,Gateway Stake Centre,Gateway Stake,Lee Ridge Ward,1,4,16,20,1,2,147,20,LEE RIDGE,Karhiio Ward,28618500,Gateway Stake 19
2023-09-23 11:19,Riverbend Stake Centre,Riverbend Stake,Rabbit Hill Ward,4,2,59,60,1,2,236,60,RABBIT HILL,,738854.8387,Riverbend Stake 3
2023-09-23 11:20,Gateway Stake Centre,Gateway Stake,Crawford Plains Ward,1,1,5,17,0,2,135,17,CRAWFORD PLAINS,Sspomitapi Ward,140000,Gateway Stake 20
2023-09-23 11:20,North Stake Centre,Edmonton North Stake,Griesbach Ward,2,3,35,70,0,2,370,65,GRIESBACH,Anirniq Ward,6666500,Edmonton North Stake 6
2023-09-23 11:21,Gateway Stake Centre,Gateway Stake,Crawford Plains Ward,2,0,15,40,0,2,115,40,CRAWFORD PLAINS,Sspomitapi Ward,140000,Gateway Stake 21
2023-09-23 11:21,North Stake Centre,Edmonton North Stake,Griesbach Ward,2,2,16,60,0,2,200,50,GRIESBACH,Anirniq Ward,6666500,Edmonton North Stake 7
2023-09-23 11:22,Gateway Stake Centre,Gateway Stake,Silver Berry Ward,2,0,20,30,0,2,198,30,SILVER BERRY,Sspomitapi Ward,162000,Gateway Stake 22
2023-09-23 11:22,Bonnie Doon Stake Centre,Bonnie Doon Stake,Connors Hill Ward,2,0,25,40,0,2,235,60,CONNORS HILL,,837500,Bonnie Doon Stake 29
2023-09-23 11:23,Londonderry Chapel,Bonnie Doon Stake,Londonderry Ward,2,0,20,35,0,2,100,40,LONDONDERRY,,837500,Bonnie Doon Stake 30
2023-09-23 11:23,Gateway Stake Centre,Gateway Stake,Ellerslie Ward,2,1,22,50,0,2,191,50,ELLERSLIE,Karhiio Ward,797500,Gateway Stake 23
2023-09-23 11:24,North Stake Centre,Edmonton North Stake,Griesbach Ward,2,0,9,20,0,2,100,20,GRIESBACH,Anirniq Ward,6666500,Edmonton North Stake 8
2023-09-23 11:24,Gateway Stake Centre,Gateway Stake,Silver Berry Ward,2,0,31,58,0,2,27,57,SILVER BERRY,Sspomitapi Ward,162000,Gateway Stake 24
2023-09-23 11:24,Gateway Stake Centre,Gateway Stake,Silver Berry Ward,4,0,26,50,0,2,168,50,SILVER BERRY,Sspomitapi Ward,162000,Gateway Stake 25
2023-09-23 11:24,North Stake Centre,Edmonton North Stake,Namao Ward,1,4,42,50,0,2,392,60,NAMAO,,6666500,Edmonton North Stake 9
2023-09-23 11:25,Bonnie Doon Stake Centre,Bonnie Doon Stake,Forest Heights Ward,2,3,18,120,0,2,100,56,FOREST HEIGHTS,M̩tis Ward,837500,Bonnie Doon Stake 31
2023-09-23 11:25,Gateway Stake Centre,Gateway Stake,Crawford Plains Ward,2,3,21,50,1,2,317,50,CRAWFORD PLAINS,Sspomitapi Ward,140000,Gateway Stake 26
2023-09-23 11:25,Riverbend Stake Centre,Riverbend Stake,Greenfield Ward,3,0,54,75,0,2,212,80,GREENFIELD,papastew Ward,295500,Riverbend Stake 4
2023-09-23 11:25,Gateway Stake Centre,Gateway Stake,Crawford Plains Ward,1,2,11,30,1,2,261,33,CRAWFORD PLAINS,Sspomitapi Ward,140000,Gateway Stake 27
2023-09-23 11:25,Gateway Stake Centre,Gateway Stake,Crawford Plains Ward,2,0,15,40,0,2,115,40,CRAWFORD PLAINS,Sspomitapi Ward,140000,Gateway Stake 28
2023-09-23 11:26,Coronation Park Chapel,Edmonton North Stake,Stony Plain Ward,1,2,31,45,1,2,453,69,STONY PLAIN,,6666500,Edmonton North Stake 10
2023-09-23 11:27,Gateway Stake Centre,Gateway Stake,Silver Berry Ward,2,0,27,40,0,2,23,40,SILVER BERRY,Sspomitapi Ward,162000,Gateway Stake 29
2023-09-23 11:27,Gateway Stake Centre,Gateway Stake,Crawford Plains Ward,2,0,12,25,0,2,110,25,CRAWFORD PLAINS,Sspomitapi Ward,140000,Gateway Stake 30
2023-09-23 11:27,Londonderry Chapel,Bonnie Doon Stake,Clareview Ward,2,0,34,60,1,2,32,30.26904762,CLAREVIEW,,837500,Bonnie Doon Stake 32
2023-09-23 11:27,Bearspaw Chapel,Gateway Stake,Lee Ridge Ward,2,3,37,30,1,2,144,30,LEE RIDGE,Karhiio Ward,28618500,Gateway Stake 31
2023-09-23 11:27,Gateway Stake Centre,Gateway Stake,Ellerslie Ward,2,0,26,35,0,2,220,35,ELLERSLIE,Karhiio Ward,797500,Gateway Stake 32
2023-09-23 11:27,Londonderry Chapel,Bonnie Doon Stake,Clareview Ward,2,0,9,45,0,2,194,30.26904762,CLAREVIEW,,837500,Bonnie Doon Stake 33
2023-09-23 11:28,Gateway Stake Centre,Gateway Stake,Ellerslie Ward,2,0,11,15,0,2,165,15,ELLERSLIE,Karhiio Ward,797500,Gateway Stake 33
2023-09-23 11:28,Bearspaw Chapel,Gateway Stake,Wild Rose Ward,1,7,6,60,1,2,315,60,WILD ROSE,Sspomitapi Ward,118500,Gateway Stake 34
2023-09-23 11:29,Londonderry Chapel,Bonnie Doon Stake,Londonderry Ward,2,2,43,60,1,2,300,55,LONDONDERRY,,837500,Bonnie Doon Stake 34
2023-09-23 11:29,Londonderry Chapel,Bonnie Doon Stake,Londonderry Ward,2,1,35,60,1,2,250,57,LONDONDERRY,,837500,Bonnie Doon Stake 35
2023-09-23 11:29,Bearspaw Chapel,Gateway Stake,Lee Ridge Ward,2,0,8,60,0,2,162,60,LEE RIDGE,Karhiio Ward,28618500,Gateway Stake 35
2023-09-23 11:29,Coronation Park Chapel,Bonnie Doon Stake,Coronation Park Ward,1,1,38,90,1,2,300,30.26904762,CORONATION PARK,,837500,Bonnie Doon Stake 36
2023-09-23 11:30,Riverbend Stake Centre,Riverbend Stake,Woodbend Ward,1,3,10,30,0,2,10,30,WOODBEND,,738854.8387,Riverbend Stake 5
2023-09-23 11:30,Gateway Stake Centre,Gateway Stake,Ellerslie Ward,2,3,20,50,0,2,219,50,ELLERSLIE,Karhiio Ward,797500,Gateway Stake 36
2023-09-23 11:30,Riverbend Stake Centre,Riverbend Stake,Terwillegar Park Ward,3,0,60,90,0,2,250,90,TERWILLEGAR PARK,,738854.8387,Riverbend Stake 6
2023-09-23 11:30,Londonderry Chapel,Bonnie Doon Stake,Clareview Ward,1,2,6,45,0,2,150,30.26904762,CLAREVIEW,,837500,Bonnie Doon Stake 37
2023-09-23 11:31,Londonderry Chapel,Bonnie Doon Stake,Londonderry Ward,2,0,45,75,0,2,300,75,LONDONDERRY,,837500,Bonnie Doon Stake 38
2023-09-23 11:31,Gateway Stake Centre,Gateway Stake,Silver Berry Ward,2,0,24,40,0,2,167,50,SILVER BERRY,Sspomitapi Ward,162000,Gateway Stake 37
2023-09-23 11:31,Londonderry Chapel,Bonnie Doon Stake,Londonderry Ward,2,3,35,60,0,2,180,60,LONDONDERRY,,837500,Bonnie Doon Stake 39
2023-09-23 11:32,Bearspaw Chapel,Bonnie Doon Stake,Southgate Ward,2,0,20,45,0,2,95,89,SOUTHGATE,,837500,Bonnie Doon Stake 40
2023-09-23 11:32,Gateway Stake Centre,Gateway Stake,Rio Vista Ward,7,7,46,60,0,2,219,60,RIO VISTA,,6706200.535,Gateway Stake 38
2023-09-23 11:32,Gateway Stake Centre,Gateway Stake,Crawford Plains Ward,1,1,15,55,1,2,236,55,CRAWFORD PLAINS,Sspomitapi Ward,140000,Gateway Stake 39
2023-09-23 11:32,Riverbend Stake Centre,Riverbend Stake,Rutherford Ward,2,0,20,45,0,2,13,45,RUTHERFORD,Ipiihkoohkanipiaohtsi Ward,1154500,Riverbend Stake 7
2023-09-23 11:33,Bearspaw Chapel,Gateway Stake,Lee Ridge Ward,46,0,15,45,0,2,15,45,LEE RIDGE,Karhiio Ward,28618500,Gateway Stake 40
2023-09-23 11:33,Londonderry Chapel,Bonnie Doon Stake,Londonderry Ward,2,2,19,45,0,2,198,35,LONDONDERRY,,837500,Bonnie Doon Stake 41
2023-09-23 11:33,Coronation Park Chapel,Edmonton North Stake,Stony Plain Ward,1,0,30,47,1,2,155,30.26904762,STONY PLAIN,,6666500,Edmonton North Stake 11
2023-09-23 11:33,Gateway Stake Centre,Gateway Stake,Crawford Plains Ward,2,0,35,70,0,2,134,67,CRAWFORD PLAINS,Sspomitapi Ward,140000,Gateway Stake 41
2023-09-23 11:34,Londonderry Chapel,Bonnie Doon Stake,Londonderry Ward,2,0,4,10,0,2,194,30.26904762,LONDONDERRY,,837500,Bonnie Doon Stake 42
2023-09-23 11:34,North Stake Centre,Edmonton North Stake,Griesbach Ward,2,4,23,50,0,2,203,50,GRIESBACH,Anirniq Ward,6666500,Edmonton North Stake 12
2023-09-23 11:34,Londonderry Chapel,Bonnie Doon Stake,Clareview Ward,2,0,12,50,0,2,180,63,CLAREVIEW,,837500,Bonnie Doon Stake 43
2023-09-23 11:35,Londonderry Chapel,Bonnie Doon Stake,Londonderry Ward,1,3,7,30,0,2,7,30,LONDONDERRY,,837500,Bonnie Doon Stake 44
2023-09-23 11:35,Riverbend Stake Centre,Riverbend Stake,Greenfield Ward,2,0,40,60,0,2,20,65,GREENFIELD,papastew Ward,295500,Riverbend Stake 8
2023-09-23 11:35,Coronation Park Chapel,Bonnie Doon Stake,Coronation Park Ward,2,2,72,45,1,3,63,81,CORONATION PARK,,837500,Bonnie Doon Stake 45
2023-09-23 11:35,North Stake Centre,Edmonton North Stake,Griesbach Ward,1,2,22,60,0,2,150,45,GRIESBACH,Anirniq Ward,6666500,Edmonton North Stake 13
2023-09-23 11:35,Bonnie Doon Stake Centre,Bonnie Doon Stake,Connors Hill Ward,3,1,40,60,0,2,160,44,CONNORS HILL,,837500,Bonnie Doon Stake 46
2023-09-23 11:36,Gateway Stake Centre,Gateway Stake,Crawford Plains Ward,2,3,20,60,1,2,194,60,CRAWFORD PLAINS,Sspomitapi Ward,140000,Gateway Stake 42
2023-09-23 11:37,Bonnie Doon Stake Centre,Bonnie Doon Stake,Forest Heights Ward,1,0,33,45,1,2,130,45,FOREST HEIGHTS,M̩tis Ward,837500,Bonnie Doon Stake 47
2023-09-23 11:38,Riverbend Stake Centre,Riverbend Stake,Rutherford Ward,1,2,18,40,0,2,14,40,RUTHERFORD,Ipiihkoohkanipiaohtsi Ward,1154500,Riverbend Stake 9
2023-09-23 11:38,Gateway Stake Centre,Gateway Stake,Silver Berry Ward,2,0,17,40,0,2,170,40,SILVER BERRY,Sspomitapi Ward,162000,Gateway Stake 43
